год,Дата,Месяц,Название,Формат,Тег (курс),Линейка,Подписчики,Охват Факт,Расход,CPC,СTR,Визиты Факт,С1 Факт,Заявки Факт,С2 Факт,Оплаты Факт,Доход,CPL,ROMI,Ссылка на размещение,,,
2019,15.01.2020,январь,Flatingo,Интеграция,GD,Кодинг,52 027,42 225,р.4 500,р.15,"0,72%",304,"11,2%",34,"0,0%",0,0,р.132,-100%,https://www.youtube.com/watch?v=aqSjawK_QwA,,,
2020,15.01.2020,январь,Johe News,Интеграция,PWS,Кодинг,9 000,6 389,р.5 000,р.40,"1,94%",124,"4,0%",5,"0,0%",0,0,р.1 000,-100%,https://www.youtube.com/watch?v=o7h1-6U1u1g&t=162s,,,
2020,15.01.2020,январь,PRO роботов,Интеграция,DST,Data Science,38 000,6 900,р.7 500,р.46,"2,38%",164,"7,9%",13,"23,1%",3,4,р.577,3380%,https://www.youtube.com/watch?v=mk8OsCBZ-yw&feature=youtu.be,,,
2020,15.01.2020,январь,Хауди Хо,Интеграция,PWS,Кодинг,842 000,50 000,р.25 000,р.15,"3,39%",1697,"6,5%",111,"5,4%",6,4,р.225,1044%,https://youtu.be/M8fhrtvedHA,,,
2020,15.01.2020,январь,Foo52ru,Интеграция,DST,Data Science,35 000,22 000,р.25 000,р.60,"1,90%",418,"4,3%",18,"11,1%",2,3,р.1 389,620%,https://www.youtube.com/watch?v=J9ZgrTAFw60,,,
2020,15.01.2020,январь,Хауди Хо,Интеграция,FR,Кодинг,842 000,980 000,р.25 000,р.7,"0,39%",3831,"18,3%",700,"0,3%",2,2,р.36,264%,https://www.youtube.com/watch?v=JUcCnulhHlQ,,,
2020,15.01.2020,январь,Илон Маск,Интеграция,PWS,Кодинг,263 000,131 000,р.30 000,р.93,"0,25%",322,"4,3%",14,"0,0%",0,0,р.2 143,-100%,https://www.youtube.com/watch?v=amnTlgVLW0k,,,
2020,15.01.2020,январь,Хауди Хо,Интеграция,PWS,Кодинг,808 000,86 000,р.75 000,р.105,"0,83%",712,"8,4%",60,"0,0%",0,0,р.1 250,-100%,https://www.youtube.com/watch?v=87_3zcv8q5I&feature=youtu.be,,,
2020,01.02.2020,февраль,Павел Мудрый,Интеграция,PWS,Кодинг,250 000,15 000,р.4 500,р.58,"0,51%",77,"11,7%",9,"0,0%",0,0,р.500,-100%,https://www.youtube.com/watch?v=ozKIYHTQnHk,,,
2020,01.02.2020,февраль,PRO роботов,Интеграция,DST,Data Science,38 000,18 000,р.7 500,р.89,"0,47%",84,"4,8%",4,"0,0%",0,0,р.1 875,-100%,https://youtu.be/3oZsjfpmwwI,,,
2020,01.02.2020,февраль,Хауди Хо,Пре-ролл,PWS,Кодинг,992 000,295 000,р.30 000,р.13,"0,76%",2249,"14,4%",324,"0,9%",3,3,р.93,384%,https://www.youtube.com/watch?v=tqQnUio-j4g,,,
2020,01.03.2020,март ,Чёрный Треугольник,Интеграция,DST,Data Science,53 000,26 000,р.5 000,р.14,"1,34%",349,"1,7%",6,"0,0%",0,0,р.833,-100%,https://www.youtube.com/watch?v=648fVGzhgmU,,,
2020,01.03.2020,март ,Glo Academy,Интеграция,PWS,Кодинг,101 000,8 200,р.5 000,р.29,"2,09%",171,"3,5%",6,"0,0%",0,0,р.833,-100%,https://www.youtube.com/watch?v=uhyLPZ5_TZw,,,
2020,01.03.2020,март ,Web Developer Blog,ИнтеграцияХ10,PWS,Кодинг,30 700,10 000,р.6 700,р.4,"16,63%",1663,"7,10%",118,"3,4%",4,3,р.57,2281%,https://www.youtube.com/watch?v=fCmm8toLtkA,https://www.youtube.com/watch?v=bpASbXwjSp4&t=78s,,
2020,01.03.2020,март ,Хауди Хо,Пре-ролл,PWS,Кодинг,992 000,136 000,р.30 000,р.30,"0,72%",984,"10,67%",105,"0,0%",0,2,р.286,200%,https://www.youtube.com/watch?v=J5XXrpwUhoY&feature=youtu.be,,,
2020,01.03.2020,март ,Рами Зайцман,Интеграция,SDA,Аналитика,280 000,50 000,р.30 000,р.76,"0,79%",396,"2,5%",10,"10,0%",1,1,р.3 000,63%,https://www.youtube.com/watch?v=oumSjhs--o4&feature=youtu.be,,,
2020,01.03.2020,март ,ExtremeCode,Интеграция,PWS,Кодинг,127 000,51 000,р.30 000,р.201,"0,29%",149,"2,01%",3,"33,3%",1,1,р.10 000,50%,https://www.youtube.com/watch?v=Yc1PAiVrbFw&feature=youtu.be&t=83,,,
2020,01.03.2020,март ,Ellina Daily,Интеграция,PD,Менеджмент,125 000,14 000,р.56 000,р.154,"2,59%",363,"2,48%",9,"0,0%",0,0,р.6 222,-100%,https://www.youtube.com/watch?v=rs17iI4KBfQ&feature=youtu.be,,,
2020,01.04.2020,апрель,Sveta_Economy,Интеграция,SDA,Аналитика,60 500,21 000,р.10 600,р.27,"1,90%",400,"6,00%",24,"8,3%",2,3,р.442,985%,https://www.youtube.com/watch?v=kVTJySIC6RA&t=1s,,,
